Library,Run,Project,Patient_Cohort,Species,Celltype,Kit,Number of Donors,Library_type,aggr.CD45pCD3p
Batch1_library1_7donors_CITE,NV035,AdUp01,Cohort1,Hu,CD45pCD3p,5v2,7D,CITE,
Batch1_library2_7donors_CITE,NV035,AdUp01,Cohort1,Hu,CD45pCD3p,5v2,7D,CITE,
Batch1_library1_7donors_Gex,NV035,AdUp01,Cohort1,Hu,CD45pCD3p,5v2,7D,Gex,1
Batch1_library2_7donors_Gex,NV035,AdUp01,Cohort1,Hu,CD45pCD3p,5v2,7D,Gex,1
Batch1_library1_7donors_TCR,NV035,AdUp01,Cohort1,Hu,CD45pCD3p,5v2,7D,TCR,
Batch1_library2_7donors_TCR,NV035,AdUp01,Cohort1,Hu,CD45pCD3p,5v2,7D,TCR,
Batch2_library1_8donors_Gex,NV042,AdUp02,Cohort1,Hu,CD45pCD3p,5v2,8D,Gex,1
Batch2_library2_8donors_Gex,NV042,AdUp02,Cohort1,Hu,CD45pCD3p,5v2,8D,Gex,1
Batch2_library1_8donors_TCR,NV042,AdUp02,Cohort1,Hu,CD45pCD3p,5v2,8D,TCR,
Batch2_library2_8donors_TCR,NV042,AdUp02,Cohort1,Hu,CD45pCD3p,5v2,8D,TCR,
Batch2_library1_8donors_CITE,NV042,AdUp02,Cohort1,Hu,CD45pCD3p,5v2,8D,CITE,
Batch2_library2_8donors_CITE,NV042,AdUp02,Cohort1,Hu,CD45pCD3p,5v2,8D,CITE,
Batch3_library1_9donors_Gex,NV054,AdUp04,Cohort1,Hu,CD45pCD3p,5v2,9D,Gex,1
Batch3_library2_9donors_Gex,NV054,AdUp04,Cohort1,Hu,CD45pCD3p,5v2,9D,Gex,1
Batch3_library1_9donors_CITE,NV054,AdUp04,Cohort1,Hu,CD45pCD3p,5v2,9D,CITE,
Batch3_library2_9donors_CITE,NV054,AdUp04,Cohort1,Hu,CD45pCD3p,5v2,9D,CITE,
Batch3_library1_9donors_TCR,NV054,AdUp04,Cohort1,Hu,CD45pCD3p,5v2,9D,TCR,
Batch3_library2_9donors_TCR,NV054,AdUp04,Cohort1,Hu,CD45pCD3p,5v2,9D,TCR,
Batch4_library1_8donors_Gex,NV098,AdUp05,Cohort2,Hu,CD4,5v2,8D,Gex,1
Batch4_library2_8donors_Gex,NV098,AdUp05,Cohort2,Hu,CD8,5v2,8D,Gex,1
Batch4_library1_8donors_TCR,NV098,AdUp05,Cohort2,Hu,CD4,5v2,8D,TCR,
Batch4_library2_8donors_TCR,NV098,AdUp05,Cohort2,Hu,CD8,5v2,8D,TCR,
Batch4_library1_8donors_CITE,NV098,AdUp05,Cohort2,Hu,CD4,5v2,8D,CITE,
Batch4_library2_8donors_CITE,NV098,AdUp05,Cohort2,Hu,CD8,5v2,8D,CITE,
Batch5_library1_6donors_Gex,NV099,AdUp07,Cohort2,Hu,CD8,5v2,6D,Gex,1
Batch5_library2_6donors_Gex,NV099,AdUp07,Cohort2,Hu,CD8,5v2,6D,Gex,1
Batch5_library3_6donors_Gex,NV099,AdUp07,Cohort2,Hu,CD4,5v2,6D,Gex,1
Batch5_library4_6donors_Gex,NV099,AdUp07,Cohort2,Hu,CD4,5v2,6D,Gex,1
Batch5_library1_6donors_TCR,NV099,AdUp07,Cohort2,Hu,CD8,5v2,6D,TCR,
Batch5_library2_6donors_TCR,NV099,AdUp07,Cohort2,Hu,CD8,5v2,6D,TCR,
Batch5_library3_6donors_TCR,NV099,AdUp07,Cohort2,Hu,CD4,5v2,6D,TCR,
Batch5_library4_6donors_TCR,NV099,AdUp07,Cohort2,Hu,CD4,5v2,6D,TCR,
Batch5_library1_6donors_CITE,NV099,AdUp07,Cohort2,Hu,CD8,5v2,6D,CITE,
Batch5_library2_6donors_CITE,NV099,AdUp07,Cohort2,Hu,CD8,5v2,6D,CITE,
Batch5_library3_6donors_CITE,NV099,AdUp07,Cohort2,Hu,CD4,5v2,6D,CITE,
Batch5_library4_6donors_CITE,NV099,AdUp07,Cohort2,Hu,CD4,5v2,6D,CITE,
